reading,start time,end time
20,2019-08-15 10:30:00,2019-08-15 10:53:00
20.29002250225,2019-08-15 10:53:00,2019-08-15 11:16:00
17.4419105702383,2019-08-15 11:16:00,2019-08-15 11:39:00
18.8735960959009,2019-08-15 11:39:00,2019-08-15 12:02:00
21.5104856234612,2019-08-15 12:02:00,2019-08-15 12:25:00
22.0090898433306,2019-08-15 12:25:00,2019-08-15 12:48:00
24.228417948159,2019-08-15 12:48:00,2019-08-15 13:11:00
25.4638543036131,2019-08-15 13:11:00,2019-08-15 13:34:00
28.1284995877509,2019-08-15 13:34:00,2019-08-15 13:57:00
29.459081053799,2019-08-15 13:57:00,2019-08-15 14:20:00
26.9700020690342,2019-08-15 14:20:00,2019-08-15 14:43:00
29.0503618138645,2019-08-15 14:43:00,2019-08-15 15:06:00
27.8771315767374,2019-08-15 15:06:00,2019-08-15 15:29:00
26.2596226804884,2019-08-15 15:29:00,2019-08-15 15:52:00
27.1184389041371,2019-08-15 15:52:00,2019-08-15 16:15:00
27.7593996320982,2019-08-15 16:15:00,2019-08-15 16:38:00
29.8849783941463,2019-08-15 16:38:00,2019-08-15 17:01:00
32.1241489596532,2019-08-15 17:01:00,2019-08-15 17:24:00
32.6878588142119,2019-08-15 17:24:00,2019-08-15 17:47:00
31.3728370169034,2019-08-15 17:47:00,2019-08-15 18:10:00
33.2246042411581,2019-08-15 18:10:00,2019-08-15 18:33:00
32.4416590063401,2019-08-15 18:33:00,2019-08-15 18:56:00
31.7679154574354,2019-08-15 18:56:00,2019-08-15 19:19:00
32.5712818272457,2019-08-15 19:19:00,2019-08-15 19:42:00
33.6335608399905,2019-08-15 19:42:00,2019-08-15 20:05:00
34.751839575555,2019-08-15 20:05:00,2019-08-15 20:28:00
35.3333104908235,2019-08-15 20:28:00,2019-08-15 20:51:00
34.3384096877312,2019-08-15 20:51:00,2019-08-15 21:14:00
35.878214274474,2019-08-15 21:14:00,2019-08-15 21:37:00
37.8766024475869,2019-08-15 21:37:00,2019-08-15 22:00:00
37.8544988527349,2019-08-15 22:00:00,2019-08-15 22:23:00
37.7062149060437,2019-08-15 22:23:00,2019-08-15 22:46:00
39.9410533191221,2019-08-15 22:46:00,2019-08-15 23:09:00
38.3117762430574,2019-08-15 23:09:00,2019-08-15 23:32:00
38.3530378584491,2019-08-15 23:32:00,2019-08-15 23:55:00
37.2658054359752,2019-08-15 23:55:00,2019-08-16 00:18:00
36.5315529141367,2019-08-16 00:18:00,2019-08-16 00:41:00
36.6371914615012,2019-08-16 00:41:00,2019-08-16 01:04:00
36.021509909352,2019-08-16 01:04:00,2019-08-16 01:27:00
33.6208897170748,2019-08-16 01:27:00,2019-08-16 01:50:00
36.0436304373986,2019-08-16 01:50:00,2019-08-16 02:13:00
35.9863841754116,2019-08-16 02:13:00,2019-08-16 02:36:00
37.6272841609124,2019-08-16 02:36:00,2019-08-16 02:59:00
34.6609474531885,2019-08-16 02:59:00,2019-08-16 03:22:00
35.4604841949583,2019-08-16 03:22:00,2019-08-16 03:45:00
33.8643205485169,2019-08-16 03:45:00,2019-08-16 04:08:00
35.8204284570426,2019-08-16 04:08:00,2019-08-16 04:31:00
33.0040184623298,2019-08-16 04:31:00,2019-08-16 04:54:00
32.8932143319208,2019-08-16 04:54:00,2019-08-16 05:17:00
30.1364139016977,2019-08-16 05:17:00,2019-08-16 05:40:00
31.5446070047121,2019-08-16 05:40:00,2019-08-16 06:03:00
33.4678610224527,2019-08-16 06:03:00,2019-08-16 06:26:00
33.9787076437676,2019-08-16 06:26:00,2019-08-16 06:49:00
33.8035809782673,2019-08-16 06:49:00,2019-08-16 07:12:00
30.8973734138448,2019-08-16 07:12:00,2019-08-16 07:35:00
30.5553375157706,2019-08-16 07:35:00,2019-08-16 07:58:00
31.1501342477124,2019-08-16 07:58:00,2019-08-16 08:21:00
33.4589016529693,2019-08-16 08:21:00,2019-08-16 08:44:00
33.9872695876384,2019-08-16 08:44:00,2019-08-16 09:07:00
32.233591519523,2019-08-16 09:07:00,2019-08-16 09:30:00
