reading,start time,end time
100,2020-01-07 14:00:00,2020-01-07 15:00:00
86.220377432321,2020-01-07 15:00:00,2020-01-07 16:00:00
95.541721945234,2020-01-07 16:00:00,2020-01-07 17:00:00
87.6922986321622,2020-01-07 17:00:00,2020-01-07 18:00:00
83.0604173851962,2020-01-07 18:00:00,2020-01-07 19:00:00
71.0624914376988,2020-01-07 19:00:00,2020-01-07 20:00:00
60.572168203408,2020-01-07 20:00:00,2020-01-07 21:00:00
48.2158118368772,2020-01-07 21:00:00,2020-01-07 22:00:00
44.0635623612049,2020-01-07 22:00:00,2020-01-07 23:00:00
53.5029647640554,2020-01-07 23:00:00,2020-01-08 00:00:00
53.936535485598,2020-01-08 00:00:00,2020-01-08 01:00:00
42.9789478218523,2020-01-08 01:00:00,2020-01-08 02:00:00
56.1877763357717,2020-01-08 02:00:00,2020-01-08 03:00:00
40.2001166424689,2020-01-08 03:00:00,2020-01-08 04:00:00
38.0284889958337,2020-01-08 04:00:00,2020-01-08 05:00:00
21.9118426578698,2020-01-08 05:00:00,2020-01-08 06:00:00
23.7880940817423,2020-01-08 06:00:00,2020-01-08 07:00:00
26.1295659360997,2020-01-08 07:00:00,2020-01-08 08:00:00
17.4188935074651,2020-01-08 08:00:00,2020-01-08 09:00:00
26.8120229606683,2020-01-08 09:00:00,2020-01-08 10:00:00
22.5238704262104,2020-01-08 10:00:00,2020-01-08 11:00:00
25.6473534694499,2020-01-08 11:00:00,2020-01-08 12:00:00
34.3755489996704,2020-01-08 12:00:00,2020-01-08 13:00:00
24.9662150786991,2020-01-08 13:00:00,2020-01-08 14:00:00
27.1079805009116,2020-01-08 14:00:00,2020-01-08 15:00:00
24.7928728007334,2020-01-08 15:00:00,2020-01-08 16:00:00
44.7457648298021,2020-01-08 16:00:00,2020-01-08 17:00:00
35.8334533880236,2020-01-08 17:00:00,2020-01-08 18:00:00
37.5771386814819,2020-01-08 18:00:00,2020-01-08 19:00:00
53.522599518658,2020-01-08 19:00:00,2020-01-08 20:00:00
65.338125915174,2020-01-08 20:00:00,2020-01-08 21:00:00
63.5667238106076,2020-01-08 21:00:00,2020-01-08 22:00:00
51.4992008098629,2020-01-08 22:00:00,2020-01-08 23:00:00
68.5017063735439,2020-01-08 23:00:00,2020-01-09 00:00:00
53.8477170485826,2020-01-09 00:00:00,2020-01-09 01:00:00
69.2632552265331,2020-01-09 01:00:00,2020-01-09 02:00:00
67.9597887225747,2020-01-09 02:00:00,2020-01-09 03:00:00
66.0514623953006,2020-01-09 03:00:00,2020-01-09 04:00:00
72.0392191497968,2020-01-09 04:00:00,2020-01-09 05:00:00
74.9827422847679,2020-01-09 05:00:00,2020-01-09 06:00:00
91.3503657168233,2020-01-09 06:00:00,2020-01-09 07:00:00
77.4293291794166,2020-01-09 07:00:00,2020-01-09 08:00:00
74.4657083110316,2020-01-09 08:00:00,2020-01-09 09:00:00
81.2041057133424,2020-01-09 09:00:00,2020-01-09 10:00:00
98.2000557858503,2020-01-09 10:00:00,2020-01-09 11:00:00
97.6426206283497,2020-01-09 11:00:00,2020-01-09 12:00:00
86.0145800256261,2020-01-09 12:00:00,2020-01-09 13:00:00
92.8227657786774,2020-01-09 13:00:00,2020-01-09 14:00:00
75.6868117426303,2020-01-09 14:00:00,2020-01-09 15:00:00
85.0044404046434,2020-01-09 15:00:00,2020-01-09 16:00:00
92.3687202738368,2020-01-09 16:00:00,2020-01-09 17:00:00
89.6891271509076,2020-01-09 17:00:00,2020-01-09 18:00:00
96.7559750948379,2020-01-09 18:00:00,2020-01-09 19:00:00
94.0018052852625,2020-01-09 19:00:00,2020-01-09 20:00:00
90.6819624789972,2020-01-09 20:00:00,2020-01-09 21:00:00
80.5868995023653,2020-01-09 21:00:00,2020-01-09 22:00:00
77.2025258454311,2020-01-09 22:00:00,2020-01-09 23:00:00
82.0252203682194,2020-01-09 23:00:00,2020-01-10 00:00:00
73.5719975718292,2020-01-10 00:00:00,2020-01-10 01:00:00
68.4716836373389,2020-01-10 01:00:00,2020-01-10 02:00:00
74.7205278079137,2020-01-10 02:00:00,2020-01-10 03:00:00
92.7867413103985,2020-01-10 03:00:00,2020-01-10 04:00:00
87.0412293104199,2020-01-10 04:00:00,2020-01-10 05:00:00
68.7476401976331,2020-01-10 05:00:00,2020-01-10 06:00:00
